Program,Worker,Count,CPU_Avg_%,Mem_Max_KB,kB_Wrtn_Total,Duration_Sec
program_a,cpu,2,89.75,2432,0,4.846452824
program_a,cpu,3,96.88,2816,0,5.727770232
program_a,cpu,4,94.65,3200,0,6.377539444
program_a,cpu,5,95.36,3584,0,11.109691564
program_a,mem,2,3.00,2688,0,4.911892697
program_a,mem,3,5.30,3200,0,4.956578435
program_a,mem,4,4.82,3712,0,4.733527030
program_a,mem,5,6.12,4224,0,4.794770239
program_a,io,2,4.75,2944,116,3.047831858
program_a,io,3,5.45,3584,116,4.805914124
program_a,io,4,4.55,4224,116,4.845570908
program_a,io,5,5.18,4864,116,5.854848161
program_b,cpu,2,90.27,1920,0,4.841688665
program_b,cpu,3,97.34,2176,0,5.727072647
program_b,cpu,4,95.12,2048,0,7.468680228
program_b,cpu,5,92.26,2176,0,12.089092479
program_b,cpu,6,95.96,2176,0,12.142856545
program_b,cpu,7,96.02,2048,0,12.643515233
program_b,cpu,8,94.67,2176,0,16.305778993
program_b,mem,2,5.87,2048,0,3.297683923
program_b,mem,3,7.10,2048,0,4.771805544
program_b,mem,4,7.70,2048,0,4.824015390
program_b,mem,5,7.65,2048,0,4.872496377
program_b,mem,6,9.67,2048,0,4.831699657
program_b,mem,7,10.55,2048,0,4.771764345
program_b,mem,8,11.50,2048,0,4.725641933
program_b,io,2,4.32,1920,116,3.088316360
program_b,io,3,5.70,1920,116,4.908853747
program_b,io,4,6.35,1920,116,4.910703090
program_b,io,5,7.44,1920,116,5.911405736
program_b,io,6,8.20,1920,116,6.068408621
program_b,io,7,8.73,1920,116,5.346541229
program_b,io,8,9.17,1920,116,8.151032768
